gid,pop2009,county,subcounty,ward,uid,scuid,cuid,voters,david_waih,george_waj,raila_odin,reuben_kig,william_ru
318,20426,EMBU,Runyenjes  Sub County,Kaagari South Ward,QpKvk4GkYRI,kMSLkN4nsRl,PFu8alU2KWG,,,,,,
319,23600,EMBU,Runyenjes  Sub County,Central ward,wZh1OhsZAK2,kMSLkN4nsRl,PFu8alU2KWG,,,,,,
320,24952,EMBU,Runyenjes  Sub County,Kaagari North Ward,kiVPb44vhiR,kMSLkN4nsRl,PFu8alU2KWG,,,,,,
2242,8744,Kiambu,Ruiru Sub County,Kahawa/sukari Ward,Lc6GluslY9h,TPRNJqSm4lK,qKzosKQPl6G,,,,,,
2244,46351,Kiambu,Ruiru Sub County,Kiuu Ward,PN1D8Nm8ufZ,TPRNJqSm4lK,qKzosKQPl6G,,,,,,
331,18447,KITUI,Mwingi North Sub County,Ngomeni Ward,zR0sWpigMWE,KXM9VnhuLfP,j8o6iO4Njsi,,,,,,
332,40375,KITUI,Mwingi North Sub County,Kyuso Ward,WJLrTzwzXNb,KXM9VnhuLfP,j8o6iO4Njsi,,,,,,
2245,44760,Kiambu,Ruiru Sub County,Mwiki Ward,KoIp1GKz0UI,TPRNJqSm4lK,qKzosKQPl6G,,,,,,
2246,11934,Kiambu,Ruiru Sub County,Mwihoko Ward,dnLaU3RrCnp,TPRNJqSm4lK,qKzosKQPl6G,,,,,,
2247,36378,Kiambu,Githunguri Sub County,Githunguri Ward,NFNF57gkxbf,E7tkGikenbD,qKzosKQPl6G,,,,,,
2248,37149,Bomet,Sotik Sub County,Ndanai/abosi Ward,ygECklrrzGE,KyuSYunELJI,HMNARUV2CW4,,,,,,
2249,32234,Bomet,Sotik Sub County,Chemagel Ward,LK2nY0OUCDG,KyuSYunELJI,HMNARUV2CW4,,,,,,
2250,32708,Bomet,Sotik Sub County,Kipsonoi Ward,p5Z6myFYERX,KyuSYunELJI,HMNARUV2CW4,,,,,,
2251,40368,Bomet,Sotik Sub County,Kapletundo Ward,G6aklDidwGe,KyuSYunELJI,HMNARUV2CW4,,,,,,
2252,24830,Bomet,Sotik Sub County,Rongena/manaret Ward,Xj8EsCO27Jv,KyuSYunELJI,HMNARUV2CW4,,,,,,
2253,29458,Bomet,Chepalungu Sub County,Kong'asis Ward,IBgG8lef22L,PUhMyfDD2xp,HMNARUV2CW4,,,,,,
2254,35420,Bomet,Chepalungu Sub County,Nyangores Ward,mareBenlFqk,PUhMyfDD2xp,HMNARUV2CW4,,,,,,
2255,32818,Bomet,Chepalungu Sub County,Sigor Ward,KFjbUWezAnU,PUhMyfDD2xp,HMNARUV2CW4,,,,,,
2256,34922,Bomet,Chepalungu Sub County,Chebunyo Ward,m6Ko9GT996i,PUhMyfDD2xp,HMNARUV2CW4,,,,,,
2257,31215,Bomet,Chepalungu Sub County,Siongiroi Ward,zxVl78P6p8i,PUhMyfDD2xp,HMNARUV2CW4,,,,,,
2258,29062,Bomet,Bomet East Sub County,Merigi Ward,sp794D1MvxT,OZNRpww2TUK,HMNARUV2CW4,,,,,,
2259,26992,Bomet,Bomet East Sub County,Kembu Ward,Va67VduPAgZ,OZNRpww2TUK,HMNARUV2CW4,,,,,,
2260,28365,Bomet,Bomet East Sub County,Longisa Ward,drrGwAxlRtW,OZNRpww2TUK,HMNARUV2CW4,,,,,,
2261,23272,Bomet,Bomet East Sub County,Kipreres  Ward,dDmN1rie0ij,OZNRpww2TUK,HMNARUV2CW4,,,,,,
2262,19233,Bomet,Bomet East Sub County,Chemaner Ward,qj9Id3LgrGI,OZNRpww2TUK,HMNARUV2CW4,,,,,,
2263,28017,Bomet,Bomet Central Sub County,Silibwet Township Ward,tM4Bmyj48cN,m9gdonbVXjZ,HMNARUV2CW4,,,,,,
2264,22059,Bomet,Bomet Central Sub County,Ndaraweta Ward,J4ZIAuamKlu,m9gdonbVXjZ,HMNARUV2CW4,,,,,,
2265,21795,Bomet,Bomet Central Sub County,Singorwet Ward,wHeMr9JlYBi,m9gdonbVXjZ,HMNARUV2CW4,,,,,,
2266,34476,Bomet,Bomet Central Sub County,Chesoen Ward,Nu4cnZtQHk8,m9gdonbVXjZ,HMNARUV2CW4,,,,,,
2267,20679,Bomet,Bomet Central Sub County,Mutarakwa  Ward,g5eGcoROeya,m9gdonbVXjZ,HMNARUV2CW4,,,,,,
2268,25704,Bomet,Konoin Sub County,Chepchabas Ward,uMqAPTG5rm0,PLFoYJO8MVS,HMNARUV2CW4,,,,,,
159,16055,GARISSA,Ijara Sub County,Ijara Ward,EgSwrsgfIho,l5E6PiIUs1J,uyOrcHZBpW0,,,,,,
198,20068,MANDERA,BANISSA,GUBA,lZqCQuWJGTO,hCvlJNjyZna,R6f9znhg37c,,,,,,
199,27602,MANDERA,BANISSA,MALKAMARI,eLXthnYAfFd,hCvlJNjyZna,R6f9znhg37c,,,,,,
88,17999,TANA RIVER,Garsen Sub County,Kipini west Ward,SmP2VkWU2f9,Lj0mu9j58Ss,JsH2bnvNt2d,,,,,,
89,14852,TANA RIVER,Garsen Sub County,Garsen central Ward,y1cIpVUXwUj,Lj0mu9j58Ss,JsH2bnvNt2d,,,,,,
90,10716,TANA RIVER,Garsen Sub County,Garsen west Ward,urcMYGpY3xy,Lj0mu9j58Ss,JsH2bnvNt2d,,,,,,
107,11724,LAMU,LAMU WEST,MKUNUMBI,wXf275eEPuy,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
110,15706,LAMU,LAMU WEST,BAHARI,m7FYoouCqec,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
194,37494,MANDERA,MANDERA WEST,DANDU,vuSQ9fTFw30,H5RvDZkoDJL,R6f9znhg37c,,,,,,
195,33271,MANDERA,MANDERA WEST,GITHER,eaH1r5sQTr0,H5RvDZkoDJL,R6f9znhg37c,,,,,,
200,33825,MANDERA,BANISSA,KILIWAHERI,ZEJu2asfUfk,hCvlJNjyZna,R6f9znhg37c,,,,,,
209,27347,MANDERA,MANDERA SOUTH,ELWAK NORTH,h0htcHoe6tJ,qyhVIMG2rUw,R6f9znhg37c,,,,,,
230,10336,MARSABIT,NORTH HORR,TURBI,WJ7jJ5A1MjS,j6fqt5TYqPZ,Eey8fT4Im3y,,,,,,
109,13105,LAMU,LAMU WEST,WITU,aoySZ1KcDFN,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
237,9753,MARSABIT,LAISAMIS,KARGI/SOUTH HORR,RaSqiM3lgfo,eZpy65ooW0m,Eey8fT4Im3y,,,,,,
238,21305,MARSABIT,LAISAMIS,KORR/NGURUNIT,si4GkeAGSXo,eZpy65ooW0m,Eey8fT4Im3y,,,,,,
91,17501,TANA RIVER,Garsen Sub County,Garsen north Ward,aLLewdAnspB,Lj0mu9j58Ss,JsH2bnvNt2d,,,,,,
239,5144,MARSABIT,LAISAMIS,LOGOLOGO,ooyM9K6FAXE,eZpy65ooW0m,Eey8fT4Im3y,,,,,,
132,43244,GARISSA,Garissa Sub County,Galbet Ward,K6stsAPW2Eu,lQkHbTC1iRg,uyOrcHZBpW0,,,,,,
169,29349,WAJIR,Wajir East Sub County,Township Ward,SjGfdtwQbHd,uov0yFMw9Qm,CeLsrJOH0g9,,,,,,
170,30070,WAJIR,Wajir East Sub County,Barwaqo Ward,x1BOzSCIanu,uov0yFMw9Qm,CeLsrJOH0g9,,,,,,
176,21750,WAJIR,Wajir West Sub County,Arbajahan Ward,xvlSuZsdYVY,X98G0eIWdmP,CeLsrJOH0g9,,,,,,
178,26216,WAJIR,Wajir West Sub County,ADEMASAJIDE Ward,BMKDCdHbiHL,X98G0eIWdmP,CeLsrJOH0g9,,,,,,
179,14842,WAJIR,Wajir West Sub County,Ganyure Wagalla Ward,Y6KykEFTGUj,X98G0eIWdmP,CeLsrJOH0g9,,,,,,
180,9071,WAJIR,Eldas Sub County,Lakoley south/basir Ward,xgSKqiZof82,x6Z1sBeiyqQ,CeLsrJOH0g9,,,,,,
299,17487,THARAKA-NITHI,Mwimbi Sub County,Ganga Ward,AIL7D1wnOIl,wQ8XjZ7zVwL,T4urHM47nlm,,,,,,
300,32021,THARAKA-NITHI,Mwimbi Sub County,Chogoria Ward,yQ9Js5EZ61q,wQ8XjZ7zVwL,T4urHM47nlm,,,,,,
301,14123,THARAKA-NITHI,Igambang'ombe Sub County,Mariani Ward,Dcu26yytcIH,yXwsnpFBIPW,T4urHM47nlm,,,,,,
302,23141,THARAKA-NITHI,Chuka Sub County,Karingani Ward,UQd8QPTpVD0,JmE1qRVQD4F,T4urHM47nlm,,,,,,
303,36498,THARAKA-NITHI,Chuka Sub County,Magumoni Ward,vGpXQ5hFNmS,JmE1qRVQD4F,T4urHM47nlm,,,,,,
304,24185,THARAKA-NITHI,Chuka Sub County,Mugwe Ward,mr7zhcDiR5h,JmE1qRVQD4F,T4urHM47nlm,,,,,,
321,21546,EMBU,Runyenjes  Sub County,Kyeni north Ward,QRBxWEQZUpe,kMSLkN4nsRl,PFu8alU2KWG,,,,,,
322,27438,EMBU,Runyenjes  Sub County,Kyeni south Ward,hA5gPMwN9gK,kMSLkN4nsRl,PFu8alU2KWG,,,,,,
323,30117,EMBU,Mbeere South  Sub County,Mwea Ward,cWJOQn1YUfg,AvnM6jKoocs,PFu8alU2KWG,,,,,,
324,21291,EMBU,Mbeere South  Sub County,Makima Ward,AoN9iYrVOUP,AvnM6jKoocs,PFu8alU2KWG,,,,,,
325,29579,EMBU,Mbeere South  Sub County,Mbeti south Ward,wCqyM612JwW,AvnM6jKoocs,PFu8alU2KWG,,,,,,
326,34139,EMBU,Mbeere South  Sub County,Mavuria Ward,IqDql8D0FEF,AvnM6jKoocs,PFu8alU2KWG,,,,,,
327,15059,EMBU,Mbeere South  Sub County,Kiambere Ward,CMHN2XMxdY9,AvnM6jKoocs,PFu8alU2KWG,,,,,,
328,26725,EMBU,Mbeere North  Sub County,Nthawa Ward,tGtfKyhl0y1,eYBXetGx8xF,PFu8alU2KWG,,,,,,
350,26759,KITUI,Kitui Rural Sub County,Kisasi Ward,ZkMkC815uDw,vbauk0RRq9N,j8o6iO4Njsi,,,,,,
357,28573,KITUI,Kitui Central  Sub County,Mulango Ward,KBHoROCFohc,MWqQbxWqACn,j8o6iO4Njsi,,,,,,
358,28257,KITUI,Kitui Central  Sub County,Kyangwithya east Ward,XCMLultdtNW,MWqQbxWqACn,j8o6iO4Njsi,,,,,,
361,22046,KITUI,Kitui East Sub County,Chuluni Ward,CHn58eAvVl9,d0Gu8FrRM0Y,j8o6iO4Njsi,,,,,,
366,24450,KITUI,Kitui South Sub County,Mutomo Ward,ToGeasli0pe,d3hSQ3EtnPk,j8o6iO4Njsi,,,,,,
367,25138,KITUI,Kitui South Sub County,Mutha Ward,V2yqe9L0ha7,d3hSQ3EtnPk,j8o6iO4Njsi,,,,,,
369,18664,KITUI,Kitui South Sub County,Kanziko Ward,zNPxEQ4AIcH,d3hSQ3EtnPk,j8o6iO4Njsi,,,,,,
446,25140,NYANDARUA,Kinangop Sub County,Nyakio Ward,sDFNdNK4QJ8,RAnL5kBKMIt,mYZacFNIB3h,,,,,,
447,19485,NYANDARUA,Kinangop Sub County,Githabai Ward,il32x0l8U6u,RAnL5kBKMIt,mYZacFNIB3h,,,,,,
448,25638,NYANDARUA,Kinangop Sub County,Magumu Ward,BBQbdCSiXdl,RAnL5kBKMIt,mYZacFNIB3h,,,,,,
451,20259,NYANDARUA,Kipipiri Sub County,Geta Ward,ExTmlWkEQL9,KlVgeHmvG6n,mYZacFNIB3h,,,,,,
453,25514,NYANDARUA,Olkalou Sub County,Karau Ward,b7xmixlTNYm,Lm9RMwhIu3G,mYZacFNIB3h,,,,,,
455,27056,NYANDARUA,Olkalou Sub County,Mirangine Ward,QFG9oFhHG2F,Lm9RMwhIu3G,mYZacFNIB3h,,,,,,
456,17926,NYANDARUA,Olkalou Sub County,Kaimbaga Ward,hYNt8KLy0zR,Lm9RMwhIu3G,mYZacFNIB3h,,,,,,
458,21331,NYANDARUA,Oljoroorok Sub County,Gathanji Ward,xNnLSFClkz7,fVSw60UAC3W,mYZacFNIB3h,,,,,,
459,26341,NYANDARUA,Oljoroorok Sub County,Gatimu Ward,hh7VWuhTI6A,fVSw60UAC3W,mYZacFNIB3h,,,,,,
