gid,pop2009,county,subcounty,ward,uid,scuid,cuid,voters,david_waih,george_waj,raila_odin,reuben_kig,william_ru
241,17431,ISIOLO,Isiolo Sub County,WABERA,rIdiIpv9fBt,I2LYLqKU6AW,bzOfj0iwfDH,,,,,,
1455,18755,Migori,Rongo Sub County,North Kamagambo Ward,QC41mItjIzF,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1456,27756,Migori,Rongo Sub County,Central Kamagambo Ward,M8rGveWTIMm,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1457,27179,Migori,Rongo Sub County,South Kamagambo Ward,DABObbHgPMX,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1458,22874,Migori,Awendo Sub County,North Sakwa Ward,EmSsP2C6A3h,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1459,36200,Migori,Awendo Sub County,South Sakwa Ward,OpbsijPbYuv,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1460,22278,Migori,Awendo Sub County,West Sakwa Ward,nLwQA56EFmD,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1461,27561,Migori,Awendo Sub County,Central Sakwa Ward,jmeydKjWYw7,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1462,18567,Migori,Suna East Sub County,God Jope  Ward,Fp2Wuqu3GAI,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1463,27645,Migori,Suna East Sub County,Suna Central Ward,QAxizS8H0d7,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1464,33642,Migori,Suna East Sub County,Kakrao Ward,SUvzbKCIzyN,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1465,17267,Migori,Suna East Sub County,Kwa Ward,YKABD0bh2a7,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1466,24096,Migori,Suna West Sub County,Wiga Ward,kxIw7ZzqXPq,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
1467,17952,Migori,Suna West Sub County,Waseweta Ii Ward,KwrilS23iAS,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
1468,32847,Migori,Suna West Sub County,Ragana-oruba Ward,PPEvdyHP6uZ,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
1469,19232,Migori,Suna West Sub County,Wasimbete Ward,c2OOtR8JNjy,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
1470,26786,Migori,Uriri Sub County,West Kanyamkago Ward,ziaLqezx6rb,fCInDXluNhx,fVra3Pwta0Q,,,,,,
1471,30396,Migori,Uriri Sub County,North  Kanyamkago Ward,LXYI6dwqHoR,fCInDXluNhx,fVra3Pwta0Q,,,,,,
1472,17814,Migori,Uriri Sub County,Central Kanyamkago Ward,P9SReXKzjbO,fCInDXluNhx,fVra3Pwta0Q,,,,,,
1473,27719,Migori,Uriri Sub County,South Kanyamkago Ward,FdBel1HNlGu,fCInDXluNhx,fVra3Pwta0Q,,,,,,
1474,13036,Migori,Uriri Sub County,East Kanyamkago Ward,IgyJtGgB69M,fCInDXluNhx,fVra3Pwta0Q,,,,,,
1475,21775,Migori,Nyatike Sub County,Kachieng' Ward,yowhezRzMGg,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1486,22683,Migori,Kuria West Sub County,Masaba Ward,zTD1Z6ldaEx,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
1490,20439,Migori,Kuria East Sub County,Ntimaru West Ward,dkHXkFhXXxJ,THm2tCJa2ZQ,fVra3Pwta0Q,,,,,,
1520,28517,Machakos,Athi River Sub County,Mathatani Ward,ZlcAxf7QN8c,BxfsSc6Svrc,yhCUgGcCcOo,,,,,,
1521,42154,Machakos,Athi River Sub County,Syokimau-mulolongo Ward,TcWlRA6LpLB,BxfsSc6Svrc,yhCUgGcCcOo,,,,,,
1522,32055,Machakos,Machakos Sub County,Kalama Ward,X0dFLUEZDlw,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1523,25573,Machakos,Machakos Sub County,Mua Ward,aQ530J1wOWr,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1524,23736,Machakos,Machakos Sub County,Mutituni Ward,m6H14WsORB0,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1525,32530,Machakos,Machakos Sub County,Township Ward,bSXsHJ4bnCw,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1526,28319,Machakos,Machakos Sub County,Mumbuni North Ward,W5KRNT7qwnJ,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1527,32413,Machakos,Machakos Sub County,Muvuti-kiima-kimwe Ward,CJ0xDJy3ZZI,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1528,24585,Machakos,Machakos Sub County,Kola Ward,RWCExNJBqjw,KXc4ez8OAFz,yhCUgGcCcOo,,,,,,
1529,32142,Machakos,Mwala Sub County,Mbiuni Ward,mTYNhOlvCK8,fYYivceocJ2,yhCUgGcCcOo,,,,,,
1530,32127,Machakos,Mwala Sub County,Makutano-mwala Ward,LFDB6rHVYOg,fYYivceocJ2,yhCUgGcCcOo,,,,,,
1531,32367,Machakos,Mwala Sub County,Masii Ward,aN66G7fGx3m,fYYivceocJ2,yhCUgGcCcOo,,,,,,
1532,22805,Machakos,Mwala Sub County,Muthetheni Ward,p3N8fKKiVHr,fYYivceocJ2,yhCUgGcCcOo,,,,,,
1533,25664,Machakos,Mwala Sub County,Wamunyu Ward,TlP41wTPt6a,fYYivceocJ2,yhCUgGcCcOo,,,,,,
1534,17927,Machakos,Mwala Sub County,Kibauni Ward,vzUXLmjcQsv,fYYivceocJ2,yhCUgGcCcOo,,,,,,
1535,25807,Homa Bay,Kasipul Sub County,West Kasipul Ward,tn1vEO9VD83,NhsAMiaS0TD,nK0A12Q7MvS,,,,,,
1536,25691,Homa Bay,Kasipul Sub County,South Kasipul Ward,xiP5RKdvPTn,NhsAMiaS0TD,nK0A12Q7MvS,,,,,,
1537,26016,Homa Bay,Kasipul Sub County,Central Kasipul Ward,UQYZGlkULva,NhsAMiaS0TD,nK0A12Q7MvS,,,,,,
1538,14588,Homa Bay,Kasipul Sub County,East Kamagak Ward,RvsMMMCame7,NhsAMiaS0TD,nK0A12Q7MvS,,,,,,
1539,21015,Homa Bay,Kasipul Sub County,West Kamagak Ward,pPN9DI12g5m,NhsAMiaS0TD,nK0A12Q7MvS,,,,,,
1540,31962,Homa Bay,Kabondo Kasipul Sub County,Kabondo East Ward,nYfCFgklbTM,BzFBYZhF5fx,nK0A12Q7MvS,,,,,,
1541,31131,Homa Bay,Kabondo Kasipul Sub County,Kabondo West Ward,zkOTNmaTloy,BzFBYZhF5fx,nK0A12Q7MvS,,,,,,
1542,26532,Homa Bay,Kabondo Kasipul Sub County,Kokwanyo/kakelo Ward,dPxooReTfTv,BzFBYZhF5fx,nK0A12Q7MvS,,,,,,
1543,17924,Homa Bay,Kabondo Kasipul Sub County,Kojwach Ward,FdJzxSJbjk3,BzFBYZhF5fx,nK0A12Q7MvS,,,,,,
1544,26069,Homa Bay,Karachuonyo Sub County,West Karachuonyo Ward,DbwgMpyBfwd,fmsyW02tPng,nK0A12Q7MvS,,,,,,
1545,23614,Homa Bay,Karachuonyo Sub County,North Karachuonyo Ward,bR7hQLC29rl,fmsyW02tPng,nK0A12Q7MvS,,,,,,
1546,20475,Homa Bay,Karachuonyo Sub County,Central Ward,TzCE8I4W14b,fmsyW02tPng,nK0A12Q7MvS,,,,,,
1547,18684,Homa Bay,Karachuonyo Sub County,Kanyaluo Ward,LX2KPfCBef4,fmsyW02tPng,nK0A12Q7MvS,,,,,,
1553,30553,Homa Bay,Rangwe Sub County,Kagan Ward,V6fgSDAq913,iK2Jk2AxhlD,nK0A12Q7MvS,,,,,,
1554,26554,Homa Bay,Rangwe Sub County,Kochia Ward,ODrYkIYLlui,iK2Jk2AxhlD,nK0A12Q7MvS,,,,,,
1555,30575,Homa Bay,Homa Bay Town Sub County,Homa Bay Central Ward,zOOEW5td56i,Ur2xRBDtazT,nK0A12Q7MvS,,,,,,
1556,24310,Homa Bay,Homa Bay Town Sub County,Homa Bay Arujo Ward,OOiImc9uz5A,Ur2xRBDtazT,nK0A12Q7MvS,,,,,,
1558,27591,Homa Bay,Homa Bay Town Sub County,Homa Bay East Ward,C5EivIShRVo,Ur2xRBDtazT,nK0A12Q7MvS,,,,,,
1559,31596,Homa Bay,Ndhiwa Sub County,Kwabwai Ward,Fsxrjp3QlVa,i2Y2fyNoFyZ,nK0A12Q7MvS,,,,,,
1560,16331,Homa Bay,Ndhiwa Sub County,Kanyadoto Ward,MAZrrKvz7hU,i2Y2fyNoFyZ,nK0A12Q7MvS,,,,,,
1561,6283,Homa Bay,Ndhiwa Sub County,Kanyikela Ward,JY7Gu5x4aGH,i2Y2fyNoFyZ,nK0A12Q7MvS,,,,,,
1562,35270,Homa Bay,Ndhiwa Sub County,Kabouch North Ward,MLB4Nr73Nsh,i2Y2fyNoFyZ,nK0A12Q7MvS,,,,,,
1563,26332,Homa Bay,Ndhiwa Sub County,Kabuoch South/pala Ward,eScf0oeCcVI,i2Y2fyNoFyZ,nK0A12Q7MvS,,,,,,
1565,32958,Homa Bay,Ndhiwa Sub County,Kanyamwa Kosewe Ward,ccNnEThhT6C,i2Y2fyNoFyZ,nK0A12Q7MvS,,,,,,
1566,26120,Homa Bay,Mbita Sub County,Mfangano Island Ward,SyS2T2z6JDZ,mCGytMcMf6y,nK0A12Q7MvS,,,,,,
1567,24275,Homa Bay,Mbita Sub County,Rusinga Island Ward,OjYMSbDEKRc,mCGytMcMf6y,nK0A12Q7MvS,,,,,,
1568,19653,Homa Bay,Mbita Sub County,Kasgunga Ward,eX9fqY9KVU8,mCGytMcMf6y,nK0A12Q7MvS,,,,,,
1579,18452,Vihiga,Sabatia Sub County,Chavakali Ward,NHcPsj2IMSr,urtJSF5jcBC,sANMZ3lpqGs,,,,,,
1582,23693,Vihiga,Sabatia Sub County,Busali Ward,cUBWuuQYISs,urtJSF5jcBC,sANMZ3lpqGs,,,,,,
1583,22334,Vihiga,Hamisi Sub County,Shiru Ward,iphxMgFUJmE,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1584,21452,Vihiga,Hamisi Sub County,Gisambai Ward,d7jBlFuDPt7,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1585,16659,Vihiga,Hamisi Sub County,Muhudu Ward,tDKdg7EyyCj,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1586,18689,Vihiga,Hamisi Sub County,Tambua Ward,pyG6e1Uq18m,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1587,19055,Vihiga,Hamisi Sub County,Jepkoyai Ward,USg05TR1JwK,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1591,19994,Vihiga,Luanda Sub County,Luanda South Ward,P35Hsu3jEza,lkYdgjRSOoE,sANMZ3lpqGs,,,,,,
1593,29991,Vihiga,Emuhaya Sub County,North East Bunyore Ward,AgnY1dRfILu,Lpy789vqRC6,sANMZ3lpqGs,,,,,,
1596,22535,Vihiga,Hamisi Sub County,Banja Ward,r6KB3hMzaXh,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1597,19293,Vihiga,Vihiga Sub County,South Maragoli Ward,hTylTMl1aid,OOF3UX4yOt7,sANMZ3lpqGs,,,,,,
1598,27535,Vihiga,Hamisi Sub County,Shamakhokho Ward,hXKwpKcEej9,BXaq5PxSfz2,sANMZ3lpqGs,,,,,,
1600,28788,Bungoma,Cheptais Sub County,Cheptais Ward,iKvnghqTvSP,NZphHeczehh,KGHhQ5GLd4k,,,,,,
1603,28668,Bungoma,Cheptais Sub County,Kakateny Ward,WIQaiUzKu6p,NZphHeczehh,KGHhQ5GLd4k,,,,,,
1604,33555,Bungoma,Mt Elgon Sub County,Kaptama Ward,X2TaEHQHj6z,ZCYATXdLsL1,KGHhQ5GLd4k,,,,,,
1607,35067,Bungoma,Sirisia Sub County,Malakisi/south Kulisiru Ward,ftbk97ko25V,whWfFA9D7td,KGHhQ5GLd4k,,,,,,
1608,39802,Bungoma,Sirisia Sub County,Lwandanyi Ward,nNiOxPPdyhk,whWfFA9D7td,KGHhQ5GLd4k,,,,,,
1610,33130,Bungoma,Kabuchai Sub County,West Nalondo Ward,gZqLcfKb6LQ,k1mze33jOs0,KGHhQ5GLd4k,,,,,,
1612,37988,Bungoma,Kabuchai Sub County,Mukuyuni Ward,IVA8tzQOkNT,k1mze33jOs0,KGHhQ5GLd4k,,,,,,
1616,20756,Bungoma,Bumula Sub County,Kabula  Ward,sIW2S02bdN0,jkQZEow83MX,KGHhQ5GLd4k,,,,,,
1617,36539,Bungoma,Bumula Sub County,Kimaeti Ward,bMDzJFxR86n,jkQZEow83MX,KGHhQ5GLd4k,,,,,,
1619,32507,Bungoma,Bumula Sub County,Siboti Ward,iKmwecDBqgX,jkQZEow83MX,KGHhQ5GLd4k,,,,,,
1620,20311,Bungoma,Kanduyi Sub County,Bukembe West Ward,r6SlF5OJDxM,CUjthlounWV,KGHhQ5GLd4k,,,,,,
1621,26749,Bungoma,Kanduyi Sub County,Bukembe East Ward,gsSTglpX3Wd,CUjthlounWV,KGHhQ5GLd4k,,,,,,
1634,32891,Bungoma,Webuye West Sub County,Bokoli Ward,rAJO40KF2F6,aqYhbqKclsI,KGHhQ5GLd4k,,,,,,
1635,34458,Bungoma,Kimilili Sub County,Kibingei Ward,pxOm9J6SORx,AphsS3lJwKU,KGHhQ5GLd4k,,,,,,
1636,36267,Bungoma,Kimilili Sub County,Kimilili Ward,E9RhI4J0cKC,AphsS3lJwKU,KGHhQ5GLd4k,,,,,,
1637,24209,Bungoma,Kimilili Sub County,Maeni Ward,ZZrtQfVb4kP,AphsS3lJwKU,KGHhQ5GLd4k,,,,,,
1638,37888,Bungoma,Kimilili Sub County,Kamukuywa Ward,krBcnnShWw6,AphsS3lJwKU,KGHhQ5GLd4k,,,,,,
1639,32229,Bungoma,Tongaren Sub County,Mbakalo Ward,dqhHnPkEqDH,orUwYD52An3,KGHhQ5GLd4k,,,,,,
1640,38023,Bungoma,Tongaren Sub County,Naitiri/kabuyefwe Ward,AwkuNWBAvnV,orUwYD52An3,KGHhQ5GLd4k,,,,,,
1641,33352,Bungoma,Tongaren Sub County,Milima Ward,ky9RthnIKqS,orUwYD52An3,KGHhQ5GLd4k,,,,,,
1642,21148,Bungoma,Tongaren Sub County,Ndalu/ Tabani Ward,ZoZCpnAFcGo,orUwYD52An3,KGHhQ5GLd4k,,,,,,
1643,33907,Bungoma,Tongaren Sub County,Tongaren Ward,Epj7vWxFyG0,orUwYD52An3,KGHhQ5GLd4k,,,,,,
1644,28819,Bungoma,Tongaren Sub County,Soysambu/ Mitua Ward,pc8868uNy8r,orUwYD52An3,KGHhQ5GLd4k,,,,,,
1645,25082,Kakamega,Lugari Sub County,Mautuma Ward,ceveVgwvcc7,ZOdhgR19Akq,BjC1xL40gHo,,,,,,
1646,31381,Kakamega,Lugari Sub County,Lugari Ward,QDeZMYaTxpd,ZOdhgR19Akq,BjC1xL40gHo,,,,,,
1647,29955,Kakamega,Lugari Sub County,Lumakanda Ward,F2TBdrJClsv,ZOdhgR19Akq,BjC1xL40gHo,,,,,,
1648,19705,Kakamega,Lugari Sub County,Chekalini Ward,WU8NRoTwaDK,ZOdhgR19Akq,BjC1xL40gHo,,,,,,
1649,33145,Kakamega,Lugari Sub County,Chevaywa Ward,T7ArssRHW3p,ZOdhgR19Akq,BjC1xL40gHo,,,,,,
1650,27746,Kakamega,Lugari Sub County,Lwandeti Ward,nbaDAo4y7cH,ZOdhgR19Akq,BjC1xL40gHo,,,,,,
1651,27243,Kakamega,Likuyani Sub County,Likuyani Ward,tzPsC2kiU56,wMv0s3U2nnG,BjC1xL40gHo,,,,,,
1652,22853,Kakamega,Likuyani Sub County,Sango Ward,A7zboeNsKAz,wMv0s3U2nnG,BjC1xL40gHo,,,,,,
1653,23701,Kakamega,Likuyani Sub County,Kongoni Ward,mluOaVta06m,wMv0s3U2nnG,BjC1xL40gHo,,,,,,
1654,30321,Kakamega,Likuyani Sub County,Nzoia Ward,bWhvWmGfQqn,wMv0s3U2nnG,BjC1xL40gHo,,,,,,
1655,21019,Kakamega,Likuyani Sub County,Sinoko Ward,clRPOipiZXp,wMv0s3U2nnG,BjC1xL40gHo,,,,,,
1656,26114,Kakamega,Malava Sub County,West Kabras Ward,vwGFBoFGIlm,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1657,29745,Kakamega,Malava Sub County,Chemuche Ward,GCZB9Qc6zCO,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1658,22659,Kakamega,Malava Sub County,East Kabras Ward,lZT0FbLOn0I,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1659,31876,Kakamega,Malava Sub County,Butali Chegulo Ward,WlgJjiJVyHY,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1660,32194,Kakamega,Malava Sub County,Manda-shivanga Ward,oQbUJJHfsbX,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1661,25055,Kakamega,Malava Sub County,Shirungu-mugai Ward,pCenQt4VPGz,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1662,37523,Kakamega,Malava Sub County,South Kabras Ward,klgKsqqI93s,ES1CWa4AJmJ,BjC1xL40gHo,,,,,,
1663,23227,Kakamega,Lurambi Sub County,Butsotso East Ward,dFH6aZXT2rd,Y3NjAhiBaZT,BjC1xL40gHo,,,,,,
1664,17377,Kakamega,Lurambi Sub County,Butsotso South  Ward,t8eg6hgrHEp,Y3NjAhiBaZT,BjC1xL40gHo,,,,,,
1665,25744,Kakamega,Lurambi Sub County,Butsotso Central Ward,IgadIOg14CX,Y3NjAhiBaZT,BjC1xL40gHo,,,,,,
1666,48304,Kakamega,Lurambi Sub County,Sheywe Ward,QVwBQhJwtOG,Y3NjAhiBaZT,BjC1xL40gHo,,,,,,
1667,12067,Kakamega,Lurambi Sub County,Mahiakalo Ward,OikFajghArn,Y3NjAhiBaZT,BjC1xL40gHo,,,,,,
1668,33510,Kakamega,Lurambi Sub County,Shirere Ward,yKF1kdNdLqM,Y3NjAhiBaZT,BjC1xL40gHo,,,,,,
1669,22091,Kakamega,Navakholo Sub County,Ingoste-matiha Ward,px3RqXi1FU6,G6PJ5kFVAuO,BjC1xL40gHo,,,,,,
1670,25352,Kakamega,Navakholo Sub County,Shinoyi-shikomari-esumeiya Ward,rFlaJBkq35x,G6PJ5kFVAuO,BjC1xL40gHo,,,,,,
1671,38407,Kakamega,Navakholo Sub County,Bunyala West Ward,soqBddsWHf5,G6PJ5kFVAuO,BjC1xL40gHo,,,,,,
1672,22122,Kakamega,Navakholo Sub County,Bunyala East Ward,ddOJaw1OQwA,G6PJ5kFVAuO,BjC1xL40gHo,,,,,,
1673,29193,Kakamega,Navakholo Sub County,Bunyala Central Ward,Qa2LjBCOXby,G6PJ5kFVAuO,BjC1xL40gHo,,,,,,
1674,37214,Kakamega,Mumias West  Sub County,Mumias Central Ward,w6anQIp7OrZ,uRl5fBkhpcE,BjC1xL40gHo,,,,,,
1796,28128,Mombasa,Changamwe Sub County,Kipevu Ward,Eswb97MIEP8,OvI6w06DhPJ,wsBsC6gjHvn,,,,,,
961,19355,KERICHO,AINAMOI,BELGUT,,,,,,,,,
94,24201,TANA RIVER,Galole Sub County,Chewani Ward,Fuc7wSQ4gkN,A4SNYCxrrnv,JsH2bnvNt2d,,,,,,
92,13636,TANA RIVER,Galole Sub County,Kinakomba Ward,JRAYgvhoUEp,A4SNYCxrrnv,JsH2bnvNt2d,,,,,,
1476,14331,Migori,Nyatike Sub County,Kanyasa Ward,ONNWmIVc48N,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1477,30697,Migori,Nyatike Sub County,North Kadem Ward,ry7pGVSoLwL,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1478,22691,Migori,Nyatike Sub County,Macalder/kanyarwanda Ward,NGRN2o3qN2r,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1479,9775,Migori,Nyatike Sub County,Kaler Ward,edSLoK3sx6W,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1480,22338,Migori,Nyatike Sub County,Got Kachola Ward,wQeQqCSAjRy,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1481,23018,Migori,Nyatike Sub County,Muhuru Ward,nQxxjPy6J5A,D2lsuEzZAJP,fVra3Pwta0Q,,,,,,
1482,19476,Migori,Kuria West Sub County,Bukira East Ward,lOqK0cwQKaH,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
1483,18140,Migori,Kuria West Sub County,Bukira Central/ikerege Ward,mLrXAhflEvn,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
1484,23556,Migori,Kuria West Sub County,Isibania Ward,ItjmRWn5IsE,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
1797,29662,Mombasa,Changamwe Sub County,Airport Ward,bmyrNLOPAAW,OvI6w06DhPJ,wsBsC6gjHvn,,,,,,
101,13524,LAMU,LAMU EAST,FAZA,xDKzFE2qfHL,cwnqFyTJIgX,NjWSbQTwys4,,,,,,
102,4265,LAMU,LAMU EAST,KIUNGA,fmWYhwoFxe8,cwnqFyTJIgX,NjWSbQTwys4,,,,,,
103,1052,LAMU,LAMU EAST,BASUBA,YbfMLNQRxtf,cwnqFyTJIgX,NjWSbQTwys4,,,,,,
104,3274,LAMU,LAMU WEST,SHELLA,hlwSQTsP5nU,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
105,19092,LAMU,LAMU WEST,MKOMAMI,khU4bMjWLt6,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
106,10700,LAMU,LAMU WEST,HINDI,yCylsEe6jSZ,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
98,14105,TANA RIVER,Bura Sub County,Bangale Ward,SCxU4funihr,yWPcTwGwQ2B,JsH2bnvNt2d,,,,,,
99,10370,TANA RIVER,Bura Sub County,Sala Ward,tc9MpZMV6yJ,yWPcTwGwQ2B,JsH2bnvNt2d,,,,,,
108,9097,LAMU,LAMU WEST,HONGWE,att6OMwShzH,Lfxw0DfD4jN,NjWSbQTwys4,,,,,,
1678,37609,Kakamega,Mumias East Sub County,Lusheya Lubinu Ward,V3ZV8jsqN0Z,FBteTV1eqB6,BjC1xL40gHo,,,,,,
1679,31004,Kakamega,Mumias East Sub County,Malaha Isongo Makunga Ward,LFTRMczCZWE,FBteTV1eqB6,BjC1xL40gHo,,,,,,
1680,32343,Kakamega,Mumias East Sub County,East Wanga Ward,ygKYcUMKsy2,FBteTV1eqB6,BjC1xL40gHo,,,,,,
1681,35812,Kakamega,Matungu Sub County,Koyonzo Ward,gBgXSPT0eml,ssbO49f0iLN,BjC1xL40gHo,,,,,,
1682,28821,Kakamega,Matungu Sub County,Kholera Ward,U7mZiE3Hvys,ssbO49f0iLN,BjC1xL40gHo,,,,,,
1683,19778,Kakamega,Matungu Sub County,Khalaba Ward,ldYP7L1GA6f,ssbO49f0iLN,BjC1xL40gHo,,,,,,
111,18065,TAITA TAVETA,Taveta Sub County,Chala Ward,uxxdF69wmFs,jNzRdAwjaQ1,QyGNX2DpR4h,,,,,,
1485,20982,Migori,Kuria West Sub County,Mokerero Ward,CpQX2anrUJk,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
115,9271,TAITA TAVETA,Taveta Sub County,Mata Ward,m1IPtRRgcm9,jNzRdAwjaQ1,QyGNX2DpR4h,,,,,,
1487,22562,Migori,Kuria West Sub County,Tagare Ward,EFFhTqzNEYT,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
116,19668,TAITA TAVETA,Wundanyi Sub County,Wundanyi/mbale Ward,mkbKajFxEDT,AM36DdkZ36Y,QyGNX2DpR4h,,,,,,
118,16934,TAITA TAVETA,Wundanyi Sub County,Wumingu/kishushe Ward,MWZrkgY93fj,AM36DdkZ36Y,QyGNX2DpR4h,,,,,,
1488,26542,Migori,Kuria West Sub County,Nyamosense/komosoko Ward,DfL4XXliaq1,jtBjNpL9FXS,fVra3Pwta0Q,,,,,,
1489,20312,Migori,Kuria East Sub County,Gokeharaka/getambwega Ward,Y9n3cjtnU4R,THm2tCJa2ZQ,fVra3Pwta0Q,,,,,,
1491,11730,Migori,Kuria East Sub County,Ntimaru East Ward,C6U23QgqMCn,THm2tCJa2ZQ,fVra3Pwta0Q,,,,,,
1492,22293,Migori,Kuria East Sub County,Nyabasi East Ward,xUtluqIJmBZ,THm2tCJa2ZQ,fVra3Pwta0Q,,,,,,
1493,27371,Migori,Kuria East Sub County,Nyabasi West Ward,k00olmG2C2e,THm2tCJa2ZQ,fVra3Pwta0Q,,,,,,
1494,26857,Migori,Rongo Sub County,East Kamagambo Ward,l8btuTBphnw,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1495,34092,Machakos,Masinga Sub County,Kivaa Ward,Z1lLfOZ4sab,hpcb7MYi6nc,yhCUgGcCcOo,,,,,,
1496,32963,Machakos,Masinga Sub County,Masinga Central Ward,Gy8x7tShO72,hpcb7MYi6nc,yhCUgGcCcOo,,,,,,
1497,19013,Machakos,Masinga Sub County,Ekalakala Ward,Ado6AndJdpf,hpcb7MYi6nc,yhCUgGcCcOo,,,,,,
1498,17153,Machakos,Masinga Sub County,Muthesya Ward,mbGPooHKbdA,hpcb7MYi6nc,yhCUgGcCcOo,,,,,,
1499,22719,Machakos,Masinga Sub County,Mananja Ward,PUxylhB5rfi,hpcb7MYi6nc,yhCUgGcCcOo,,,,,,
1500,30256,Machakos,Yatta Sub County,Ndalani Ward,hVGX2N2vzsO,CeukNtGhW7J,yhCUgGcCcOo,,,,,,
1501,27145,Machakos,Yatta Sub County,Matuu Ward,EhkLDtwfJnH,CeukNtGhW7J,yhCUgGcCcOo,,,,,,
1502,33714,Machakos,Yatta Sub County,Kithimani Ward,LELK9LZb2qR,CeukNtGhW7J,yhCUgGcCcOo,,,,,,
1503,34683,Machakos,Yatta Sub County,Ikombe Ward,Q4EsypvUANP,CeukNtGhW7J,yhCUgGcCcOo,,,,,,
1504,21781,Machakos,Yatta Sub County,Katangi Ward,w0RAITw1HWe,CeukNtGhW7J,yhCUgGcCcOo,,,,,,
1505,22396,Machakos,Kangundo Sub County,Kangundo North Ward,GCpjuDfIVDu,vMPhBuymSKt,yhCUgGcCcOo,,,,,,
1506,24850,Machakos,Kangundo Sub County,Kangundo Central Ward,xcOIxh5GkD7,vMPhBuymSKt,yhCUgGcCcOo,,,,,,
1507,21509,Machakos,Kangundo Sub County,Kangundo East Ward,hBftnwiDBHL,vMPhBuymSKt,yhCUgGcCcOo,,,,,,
1508,25612,Machakos,Kangundo Sub County,Kangundo West Ward,Q66EmTxlCi3,vMPhBuymSKt,yhCUgGcCcOo,,,,,,
1509,26297,Machakos,Matungulu Sub County,Tala Ward,fEYm1lDe2ES,GnixPSqaV6D,yhCUgGcCcOo,,,,,,
1510,25041,Machakos,Matungulu Sub County,Matungulu North Ward,cYcOCBgwwwN,GnixPSqaV6D,yhCUgGcCcOo,,,,,,
1511,21725,Machakos,Matungulu Sub County,Matungulu East Ward,raVM522IGju,GnixPSqaV6D,yhCUgGcCcOo,,,,,,
1512,33935,Machakos,Matungulu Sub County,Matungulu West Ward,OMFDcpMhxBr,GnixPSqaV6D,yhCUgGcCcOo,,,,,,
1513,17738,Machakos,Matungulu Sub County,Kyeleni Ward,XgDHRzDJYER,GnixPSqaV6D,yhCUgGcCcOo,,,,,,
1514,30055,Machakos,Kathiani Sub County,Mitamboni Ward,kTPK3jU6vdp,iCey76HYgLP,yhCUgGcCcOo,,,,,,
1515,24390,Machakos,Kathiani Sub County,Kathiani Central Ward,vviGMt93opf,iCey76HYgLP,yhCUgGcCcOo,,,,,,
